item_id,item,quantity,unit_price_usd
C3150,Nitrile exam gloves (box of 100),6,9.50
C1022,Blood pressure cuff (adult),1,24.00
C2210,Gauze pads 4x4 in (pack of 25),4,6.00
C4105,Syringes 3 mL (box of 100),2,18.00
C1407,Digital thermometer,1,35.00
C2318,Alcohol prep pads (box of 200),3,4.25
C2904,Adhesive bandages (box of 100),4,3.25
C3012,Surgical masks (box of 50),8,4.50
C2877,Exam table paper (roll),3,8.00
C1560,Pulse oximeter,1,42.00
C2655,Tongue depressors (box of 500),2,6.50
C1833,Specimen cups (case of 100),2,28.50
