purchase_id,customer_id,product_id,quantity,purchase_date,store
T0001,C011,P042,1,2023-01-01 00:00:00,Store C
T0002,C070,P001,2,2023-01-01 04:00:00,Store A
T0003,C075,P029,1,2023-01-01 08:00:00,Store A
T0004,C053,P045,1,2023-01-01 12:00:00,Store C
T0005,C079,P049,3,2023-01-01 16:00:00,Store B
T0006,C010,P035,1,2023-01-01 20:00:00,Store C
T0007,C011,P040,3,2023-01-02 00:00:00,Store C
T0008,C092,P014,1,2023-01-02 04:00:00,Store C
T0009,C060,P035,1,2023-01-02 08:00:00,Store B
T0010,C030,P048,1,2023-01-02 12:00:00,Store B
T0011,C074,P045,3,2023-01-02 16:00:00,Store B
T0012,C089,P020,1,2023-01-02 20:00:00,Store A
T0013,C044,P049,1,2023-01-03 00:00:00,Store B
T0014,C081,P013,4,2023-01-03 04:00:00,Store A
T0015,C022,P038,1,2023-01-03 08:00:00,Store A
T0016,C015,P049,2,2023-01-03 12:00:00,Store B
T0017,C075,P046,2,2023-01-03 16:00:00,Store B
T0018,C075,P049,1,2023-01-03 20:00:00,Store B
T0019,C082,P008,2,2023-01-04 00:00:00,Store A
T0020,C087,P043,1,2023-01-04 04:00:00,Store C
T0021,C099,P020,2,2023-01-04 08:00:00,Store B
T0022,C074,P033,1,2023-01-04 12:00:00,Store B
T0023,C057,P026,2,2023-01-04 16:00:00,Store B
T0024,C091,P039,1,2023-01-04 20:00:00,Store A
T0025,C051,P021,2,2023-01-05 00:00:00,Store A
T0026,C067,P049,1,2023-01-05 04:00:00,Store C
T0027,C021,P042,1,2023-01-05 08:00:00,Store B
T0028,C008,P043,1,2023-01-05 12:00:00,Store A
T0029,C099,P041,1,2023-01-05 16:00:00,Store C
T0030,C093,P009,3,2023-01-05 20:00:00,Store B
T0031,C085,P024,1,2023-01-06 00:00:00,Store A
T0032,C065,P037,4,2023-01-06 04:00:00,Store B
T0033,C038,P049,4,2023-01-06 08:00:00,Store B
T0034,C035,P041,2,2023-01-06 12:00:00,Store A
T0035,C048,P017,1,2023-01-06 16:00:00,Store A
T0036,C076,P024,1,2023-01-06 20:00:00,Store A
T0037,C086,P021,3,2023-01-07 00:00:00,Store B
T0038,C083,P039,1,2023-01-07 04:00:00,Store B
T0039,C052,P041,1,2023-01-07 08:00:00,Store C
T0040,C099,P039,2,2023-01-07 12:00:00,Store B
T0041,C088,P013,3,2023-01-07 16:00:00,Store A
T0042,C076,P011,3,2023-01-07 20:00:00,Store B
