sensor_id,sensor_type,location,manufacturer,installation_date
S0001,Heart Rate Monitor,General Ward,MedTech Inc,2023-01-01
S0002,Temperature Sensor,Outpatient,MediDevice,2023-01-02
S0003,Blood Pressure Cuff,ICU,MedTech Inc,2023-01-03
S0004,Temperature Sensor,General Ward,MediDevice,2023-01-04
S0005,Temperature Sensor,Outpatient,HealthCorp,2023-01-05
S0006,Blood Pressure Cuff,Operating Room,HealthCorp,2023-01-06
S0007,ECG Monitor,Emergency,MediDevice,2023-01-07
S0008,Temperature Sensor,General Ward,MedTech Inc,2023-01-08
S0009,ECG Monitor,ICU,HealthCorp,2023-01-09
S0010,Pulse Oximeter,ICU,MedTech Inc,2023-01-10
S0011,ECG Monitor,Operating Room,HealthCorp,2023-01-11
S0012,Pulse Oximeter,Emergency,MedTech Inc,2023-01-12
S0013,Heart Rate Monitor,Emergency,MediDevice,2023-01-13
S0014,Blood Pressure Cuff,Outpatient,MediDevice,2023-01-14
S0015,ECG Monitor,Emergency,HealthCorp,2023-01-15
S0016,Blood Pressure Cuff,General Ward,BioSensors Ltd,2023-01-16
S0017,ECG Monitor,Emergency,MedTech Inc,2023-01-17
S0018,Heart Rate Monitor,Outpatient,MedTech Inc,2023-01-18
S0019,Heart Rate Monitor,ICU,MedTech Inc,2023-01-19
S0020,Pulse Oximeter,Emergency,MedTech Inc,2023-01-20
S0021,Blood Pressure Cuff,Outpatient,MediDevice,2023-01-21
S0022,Temperature Sensor,Outpatient,MedTech Inc,2023-01-22
S0023,Pulse Oximeter,Operating Room,HealthCorp,2023-01-23
S0024,Pulse Oximeter,Emergency,HealthCorp,2023-01-24
S0025,Heart Rate Monitor,ICU,BioSensors Ltd,2023-01-25
S0026,Heart Rate Monitor,Outpatient,BioSensors Ltd,2023-01-26
S0027,Temperature Sensor,Emergency,BioSensors Ltd,2023-01-27
S0028,Pulse Oximeter,General Ward,BioSensors Ltd,2023-01-28
S0029,Blood Pressure Cuff,General Ward,HealthCorp,2023-01-29
S0030,Pulse Oximeter,ICU,MediDevice,2023-01-30
S0031,Heart Rate Monitor,General Ward,HealthCorp,2023-01-31
S0032,Heart Rate Monitor,Outpatient,BioSensors Ltd,2023-02-01
S0033,ECG Monitor,Operating Room,MediDevice,2023-02-02
S0034,Blood Pressure Cuff,Outpatient,MediDevice,2023-02-03
S0035,Pulse Oximeter,General Ward,MediDevice,2023-02-04
S0036,Pulse Oximeter,Operating Room,BioSensors Ltd,2023-02-05
S0037,Temperature Sensor,Emergency,HealthCorp,2023-02-06
S0038,Blood Pressure Cuff,Outpatient,MedTech Inc,2023-02-07
S0039,Heart Rate Monitor,ICU,MediDevice,2023-02-08
S0040,Blood Pressure Cuff,ICU,MediDevice,2023-02-09
S0041,Blood Pressure Cuff,Operating Room,MediDevice,2023-02-10
S0042,Temperature Sensor,General Ward,HealthCorp,2023-02-11
S0043,Temperature Sensor,Operating Room,MedTech Inc,2023-02-12
S0044,ECG Monitor,General Ward,MedTech Inc,2023-02-13
S0045,Heart Rate Monitor,ICU,HealthCorp,2023-02-14
S0046,Temperature Sensor,General Ward,HealthCorp,2023-02-15
S0047,Heart Rate Monitor,General Ward,HealthCorp,2023-02-16
S0048,Temperature Sensor,General Ward,BioSensors Ltd,2023-02-17
S0049,ECG Monitor,Operating Room,BioSensors Ltd,2023-02-18
S0050,Pulse Oximeter,Emergency,MediDevice,2023-02-19
S0051,ECG Monitor,Outpatient,HealthCorp,2023-02-20
S0052,Blood Pressure Cuff,Outpatient,HealthCorp,2023-02-21
S0053,Temperature Sensor,Outpatient,HealthCorp,2023-02-22
S0054,Blood Pressure Cuff,Outpatient,MediDevice,2023-02-23
S0055,Blood Pressure Cuff,General Ward,BioSensors Ltd,2023-02-24
S0056,ECG Monitor,Outpatient,MedTech Inc,2023-02-25
S0057,Pulse Oximeter,General Ward,HealthCorp,2023-02-26
S0058,ECG Monitor,Emergency,BioSensors Ltd,2023-02-27
S0059,Temperature Sensor,Emergency,HealthCorp,2023-02-28
S0060,Pulse Oximeter,Operating Room,HealthCorp,2023-03-01
S0061,Blood Pressure Cuff,Outpatient,BioSensors Ltd,2023-03-02
S0062,Blood Pressure Cuff,Emergency,MediDevice,2023-03-03
S0063,Heart Rate Monitor,Outpatient,MediDevice,2023-03-04
S0064,Heart Rate Monitor,Emergency,BioSensors Ltd,2023-03-05
S0065,Blood Pressure Cuff,Emergency,MediDevice,2023-03-06
S0066,Blood Pressure Cuff,ICU,MedTech Inc,2023-03-07
S0067,Pulse Oximeter,ICU,BioSensors Ltd,2023-03-08
S0068,Heart Rate Monitor,Emergency,MedTech Inc,2023-03-09
S0069,ECG Monitor,General Ward,MedTech Inc,2023-03-10
S0070,Blood Pressure Cuff,Outpatient,MedTech Inc,2023-03-11
S0071,ECG Monitor,ICU,MedTech Inc,2023-03-12
S0072,Pulse Oximeter,Emergency,MediDevice,2023-03-13
S0073,Temperature Sensor,ICU,MediDevice,2023-03-14
S0074,Blood Pressure Cuff,ICU,BioSensors Ltd,2023-03-15
S0075,Pulse Oximeter,Emergency,HealthCorp,2023-03-16
S0076,Blood Pressure Cuff,Outpatient,MedTech Inc,2023-03-17
S0077,Pulse Oximeter,Emergency,HealthCorp,2023-03-18
S0078,Temperature Sensor,Outpatient,HealthCorp,2023-03-19
S0079,Blood Pressure Cuff,Operating Room,MediDevice,2023-03-20
S0080,Blood Pressure Cuff,General Ward,HealthCorp,2023-03-21
S0081,Temperature Sensor,Operating Room,MedTech Inc,2023-03-22
S0082,Pulse Oximeter,Outpatient,MedTech Inc,2023-03-23
S0083,Blood Pressure Cuff,Outpatient,HealthCorp,2023-03-24
S0084,Pulse Oximeter,ICU,MedTech Inc,2023-03-25
S0085,Temperature Sensor,General Ward,BioSensors Ltd,2023-03-26
S0086,Temperature Sensor,ICU,BioSensors Ltd,2023-03-27
S0087,Pulse Oximeter,Outpatient,MedTech Inc,2023-03-28
S0088,Pulse Oximeter,Emergency,HealthCorp,2023-03-29
S0089,Pulse Oximeter,General Ward,MedTech Inc,2023-03-30
S0090,Temperature Sensor,General Ward,BioSensors Ltd,2023-03-31
S0091,Temperature Sensor,Operating Room,MediDevice,2023-04-01
