batch_id,prediction_timestamp,target_timestamp,batch_sequence,ambient_temp_c,pre_mix_moisture_pct,next_day_strength_mpa
B001,2026-04-01T00:00:00Z,2026-04-02T00:00:00Z,1,20.504,5.897,27.953
B002,2026-04-02T00:00:00Z,2026-04-03T00:00:00Z,2,21.151,5.915,27.858
B003,2026-04-03T00:00:00Z,2026-04-04T00:00:00Z,3,21.642,5.896,28.928
B004,2026-04-04T00:00:00Z,2026-04-05T00:00:00Z,4,21.991,5.837,28.77
B005,2026-04-05T00:00:00Z,2026-04-06T00:00:00Z,5,22.229,5.74,30.084
B006,2026-04-06T00:00:00Z,2026-04-07T00:00:00Z,6,22.383,5.616,30.37
B007,2026-04-07T00:00:00Z,2026-04-08T00:00:00Z,7,22.477,5.477,30.567
B008,2026-04-08T00:00:00Z,2026-04-09T00:00:00Z,8,22.52,5.34,31.612
B009,2026-04-09T00:00:00Z,2026-04-10T00:00:00Z,9,22.505,5.219,31.516
B010,2026-04-10T00:00:00Z,2026-04-11T00:00:00Z,10,22.411,5.125,32.386
B011,2026-04-11T00:00:00Z,2026-04-12T00:00:00Z,11,22.204,5.063,31.646
B012,2026-04-12T00:00:00Z,2026-04-13T00:00:00Z,12,21.852,5.033,32.153
B013,2026-04-13T00:00:00Z,2026-04-14T00:00:00Z,13,21.328,5.028,32.098
B014,2026-04-14T00:00:00Z,2026-04-15T00:00:00Z,14,20.623,5.04,30.949
B015,2026-04-15T00:00:00Z,2026-04-16T00:00:00Z,15,19.75,5.056,30.997
B016,2026-04-16T00:00:00Z,2026-04-17T00:00:00Z,16,18.747,5.068,30.545
B017,2026-04-17T00:00:00Z,2026-04-18T00:00:00Z,17,17.677,5.07,29.509
B018,2026-04-18T00:00:00Z,2026-04-19T00:00:00Z,18,16.619,5.063,29.507
B019,2026-04-19T00:00:00Z,2026-04-20T00:00:00Z,19,15.662,5.052,28.248
B020,2026-04-20T00:00:00Z,2026-04-21T00:00:00Z,20,14.888,5.045,28.31
B021,2026-04-21T00:00:00Z,2026-04-22T00:00:00Z,21,14.367,5.054,28.243
B022,2026-04-22T00:00:00Z,2026-04-23T00:00:00Z,22,14.142,5.087,27.479
B023,2026-04-23T00:00:00Z,2026-04-24T00:00:00Z,23,14.226,5.152,28.121
B024,2026-04-24T00:00:00Z,2026-04-25T00:00:00Z,24,14.6,5.247,28.7
B025,2026-04-25T00:00:00Z,2026-04-26T00:00:00Z,25,15.218,5.369,28.636
B026,2026-04-26T00:00:00Z,2026-04-27T00:00:00Z,26,16.012,5.506,29.789
B027,2026-04-27T00:00:00Z,2026-04-28T00:00:00Z,27,16.905,5.642,29.657
B028,2026-04-28T00:00:00Z,2026-04-29T00:00:00Z,28,17.82,5.764,30.746
B029,2026-04-29T00:00:00Z,2026-04-30T00:00:00Z,29,18.695,5.856,31.536
B030,2026-04-30T00:00:00Z,2026-05-01T00:00:00Z,30,19.482,5.911,31.563
B031,2026-05-01T00:00:00Z,2026-05-02T00:00:00Z,31,20.16,5.924,32.719
B032,2026-05-02T00:00:00Z,2026-05-03T00:00:00Z,32,20.727,5.901,33.594
B033,2026-05-03T00:00:00Z,2026-05-04T00:00:00Z,33,21.197,5.848,33.726
B034,2026-05-04T00:00:00Z,2026-05-05T00:00:00Z,34,21.592,5.78,34.918
B035,2026-05-05T00:00:00Z,2026-05-06T00:00:00Z,35,21.936,5.707,34.7
B036,2026-05-06T00:00:00Z,2026-05-07T00:00:00Z,36,22.241,5.642,35.679
B037,2026-05-07T00:00:00Z,2026-05-08T00:00:00Z,37,22.505,5.59,36.326
B038,2026-05-08T00:00:00Z,2026-05-09T00:00:00Z,38,22.711,5.552,35.985
B039,2026-05-09T00:00:00Z,2026-05-10T00:00:00Z,39,22.825,5.523,36.81
B040,2026-05-10T00:00:00Z,2026-05-11T00:00:00Z,40,22.805,5.496,37.331
B041,2026-05-11T00:00:00Z,2026-05-12T00:00:00Z,41,22.61,5.461,36.924
B042,2026-05-12T00:00:00Z,2026-05-13T00:00:00Z,42,22.206,5.41,37.497
B043,2026-05-13T00:00:00Z,2026-05-14T00:00:00Z,43,21.581,5.338,36.581
B044,2026-05-14T00:00:00Z,2026-05-15T00:00:00Z,44,20.745,5.247,36.709
B045,2026-05-15T00:00:00Z,2026-05-16T00:00:00Z,45,19.737,5.141,36.403
B046,2026-05-16T00:00:00Z,2026-05-17T00:00:00Z,46,18.623,5.034,35.299
B047,2026-05-17T00:00:00Z,2026-05-18T00:00:00Z,47,17.483,4.938,35.278
B048,2026-05-18T00:00:00Z,2026-05-19T00:00:00Z,48,16.411,4.867,35.014
