row_id,prediction_timestamp,target_timestamp,day_number,current_temperature_c,previous_temperature_c,target_next_day_temperature_c
station-a-20260102,2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,1,10.752852,10.400000,11.150020
station-a-20260103,2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,2,11.150020,10.752852,12.284133
station-a-20260104,2026-01-04T00:00:00Z,2026-01-05T00:00:00Z,3,12.284133,11.150020,12.891635
station-a-20260105,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,4,12.891635,12.284133,12.500011
station-a-20260106,2026-01-06T00:00:00Z,2026-01-07T00:00:00Z,5,12.500011,12.891635,12.432889
station-a-20260107,2026-01-07T00:00:00Z,2026-01-08T00:00:00Z,6,12.432889,12.500011,12.810600
station-a-20260108,2026-01-08T00:00:00Z,2026-01-09T00:00:00Z,7,12.810600,12.432889,12.319227
station-a-20260109,2026-01-09T00:00:00Z,2026-01-10T00:00:00Z,8,12.319227,12.810600,11.265068
station-a-20260110,2026-01-10T00:00:00Z,2026-01-11T00:00:00Z,9,11.265068,12.319227,11.008799
station-a-20260111,2026-01-11T00:00:00Z,2026-01-12T00:00:00Z,10,11.008799,11.265068,11.042981
station-a-20260112,2026-01-12T00:00:00Z,2026-01-13T00:00:00Z,11,11.042981,11.008799,10.294535
station-a-20260113,2026-01-13T00:00:00Z,2026-01-14T00:00:00Z,12,10.294535,11.042981,9.694338
station-a-20260114,2026-01-14T00:00:00Z,2026-01-15T00:00:00Z,13,9.694338,10.294535,10.196415
station-a-20260115,2026-01-15T00:00:00Z,2026-01-16T00:00:00Z,14,10.196415,9.694338,10.705477
station-a-20260116,2026-01-16T00:00:00Z,2026-01-17T00:00:00Z,15,10.705477,10.196415,10.582814
station-a-20260117,2026-01-17T00:00:00Z,2026-01-18T00:00:00Z,16,10.582814,10.705477,11.069374
station-a-20260118,2026-01-18T00:00:00Z,2026-01-19T00:00:00Z,17,11.069374,10.582814,12.415247
station-a-20260119,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z,18,12.415247,11.069374,13.203857
station-a-20260120,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z,19,13.203857,12.415247,13.408874
station-a-20260121,2026-01-21T00:00:00Z,2026-01-22T00:00:00Z,20,13.408874,13.203857,14.297838
station-a-20260122,2026-01-22T00:00:00Z,2026-01-23T00:00:00Z,21,14.297838,13.408874,15.417233
station-a-20260123,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z,22,15.417233,14.297838,15.482652
station-a-20260124,2026-01-24T00:00:00Z,2026-01-25T00:00:00Z,23,15.482652,15.417233,15.179048
station-a-20260125,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z,24,15.179048,15.482652,15.559942
station-a-20260126,2026-01-26T00:00:00Z,2026-01-27T00:00:00Z,25,15.559942,15.179048,15.665661
station-a-20260127,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,26,15.665661,15.559942,14.738241
station-a-20260128,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z,27,14.738241,15.665661,14.027121
station-a-20260129,2026-01-29T00:00:00Z,2026-01-30T00:00:00Z,28,14.027121,14.738241,14.098535
station-a-20260130,2026-01-30T00:00:00Z,2026-01-31T00:00:00Z,29,14.098535,14.027121,13.708819
station-a-20260131,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z,30,13.708819,14.098535,12.768661
station-a-20260201,2026-02-01T00:00:00Z,2026-02-02T00:00:00Z,31,12.768661,13.708819,12.688712
station-a-20260202,2026-02-02T00:00:00Z,2026-02-03T00:00:00Z,32,12.688712,12.768661,13.310430
station-a-20260203,2026-02-03T00:00:00Z,2026-02-04T00:00:00Z,33,13.310430,12.688712,13.338624
station-a-20260204,2026-02-04T00:00:00Z,2026-02-05T00:00:00Z,34,13.338624,13.310430,13.290932
station-a-20260205,2026-02-05T00:00:00Z,2026-02-06T00:00:00Z,35,13.290932,13.338624,14.302447
station-a-20260206,2026-02-06T00:00:00Z,2026-02-07T00:00:00Z,36,14.302447,13.290932,15.487204
station-a-20260207,2026-02-07T00:00:00Z,2026-02-08T00:00:00Z,37,15.487204,14.302447,15.821827
station-a-20260208,2026-02-08T00:00:00Z,2026-02-09T00:00:00Z,38,15.821827,15.487204,16.311473
station-a-20260209,2026-02-09T00:00:00Z,2026-02-10T00:00:00Z,39,16.311473,15.821827,17.563960
station-a-20260210,2026-02-10T00:00:00Z,2026-02-11T00:00:00Z,40,17.563960,16.311473,18.266177
