station_name,measurement_timestamp,air_temperature_c,wet_bulb_temperature_c,relative_humidity_pct,rain_intensity_mm_per_hour,interval_rain_mm,total_rain_mm,precipitation_type_code,wind_direction_deg,wind_speed_mps,maximum_wind_speed_mps,barometric_pressure_hpa,solar_radiation_w_m2,battery_voltage_v
Foster Weather Station,2022-01-01 00:00:00,3.39,,87,,0.0,,,0,3.3,0.0,984.1,3,14.8
Oak Street Weather Station,2022-01-01 00:00:00,4.1,3.6,93,0.0,0.0,51.7,0.0,12,5.0,7.1,985.7,0,12.0
Foster Weather Station,2022-01-01 01:00:00,3.06,,86,,0.0,,,0,3.3,0.0,984.1,2,15.2
Oak Street Weather Station,2022-01-01 01:00:00,3.7,3.2,93,0.0,0.0,51.7,0.0,15,6.3,8.2,985.7,0,12.0
Foster Weather Station,2022-01-01 02:00:00,2.78,,84,,0.0,,,0,3.3,0.0,985.1,2,15.2
Oak Street Weather Station,2022-01-01 02:00:00,3.7,3.1,91,0.0,0.0,51.7,0.0,15,4.4,6.1,986.6,0,11.8
Foster Weather Station,2022-01-01 03:00:00,3.17,,81,,0.0,,,0,3.3,0.0,985.8,2,15.2
Oak Street Weather Station,2022-01-01 03:00:00,3.9,3.0,87,0.0,0.0,51.7,0.0,28,4.6,6.9,987.0,0,11.9
Foster Weather Station,2022-01-01 04:00:00,3.17,,79,,0.0,,,0,3.3,0.0,985.8,2,15.2
Oak Street Weather Station,2022-01-01 04:00:00,3.9,2.9,84,0.0,0.0,51.7,0.0,21,6.4,8.8,987.2,0,11.6
Foster Weather Station,2022-01-01 05:00:00,3.06,,78,,0.0,,,0,3.3,0.0,986.1,2,15.2
Oak Street Weather Station,2022-01-01 05:00:00,3.8,2.6,83,0.0,0.0,51.7,0.0,26,6.6,9.3,987.7,0,11.9
Foster Weather Station,2022-01-01 06:00:00,2.89,,77,,0.0,,,0,3.3,0.0,986.8,2,15.2
Oak Street Weather Station,2022-01-01 06:00:00,3.6,2.5,83,0.0,0.0,51.7,0.0,42,6.4,9.2,988.5,0,12.0
Foster Weather Station,2022-01-01 07:00:00,2.67,,75,,0.0,,,0,3.3,0.0,986.8,4,14.8
Oak Street Weather Station,2022-01-01 07:00:00,3.5,2.4,83,0.0,0.0,51.7,0.0,39,6.6,8.7,988.4,0,11.9
Foster Weather Station,2022-01-01 08:00:00,2.5,,76,,0.0,,,0,3.3,0.0,988.5,5,15.2
Oak Street Weather Station,2022-01-01 08:00:00,3.4,2.2,82,0.0,0.0,51.7,0.0,53,6.1,9.2,990.0,2,12.0
Foster Weather Station,2022-01-01 09:00:00,1.89,,74,,0.0,,,0,3.3,0.0,988.5,14,15.2
Oak Street Weather Station,2022-01-01 09:00:00,2.7,1.7,83,0.0,0.0,51.7,0.0,42,7.5,10.1,990.0,8,11.8
Foster Weather Station,2022-01-01 10:00:00,1.39,,77,,0.0,,,0,3.3,0.0,988.5,19,15.2
Oak Street Weather Station,2022-01-01 10:00:00,2.5,1.3,82,0.0,0.0,51.7,0.0,32,8.8,10.9,990.3,12,12.0
Foster Weather Station,2022-01-01 11:00:00,1.17,,74,,0.0,,,0,3.3,0.0,988.5,26,15.2
Oak Street Weather Station,2022-01-01 11:00:00,2.3,1.2,83,0.0,0.0,51.7,0.0,31,7.2,9.6,990.0,18,11.9
Foster Weather Station,2022-01-01 12:00:00,0.78,,75,,0.0,,,0,3.3,0.0,987.5,28,15.2
Oak Street Weather Station,2022-01-01 12:00:00,1.9,0.8,81,0.0,0.0,51.7,0.0,30,8.0,10.0,989.3,18,12.0
Foster Weather Station,2022-01-01 13:00:00,0.39,,77,,0.03,,,0,3.3,0.0,986.5,21,15.2
Oak Street Weather Station,2022-01-01 13:00:00,1.5,0.5,84,0.6,0.0,51.7,70.0,32,7.0,9.8,988.1,17,12.0
Foster Weather Station,2022-01-01 14:00:00,-0.5,,82,,0.0,,,0,3.3,0.0,986.5,41,15.2
Oak Street Weather Station,2022-01-01 14:00:00,0.5,-0.1,90,0.6,0.5,52.2,60.0,29,7.4,10.2,988.5,18,12.0
Foster Weather Station,2022-01-01 15:00:00,-0.28,,81,,0.03,,,0,3.3,0.0,986.1,34,15.2
Oak Street Weather Station,2022-01-01 15:00:00,0.4,-0.2,90,0.6,0.3,52.6,60.0,29,8.7,11.2,988.4,30,11.9
Foster Weather Station,2022-01-01 16:00:00,-0.28,,77,,0.03,,,0,3.3,0.0,986.8,10,15.2
Oak Street Weather Station,2022-01-01 16:00:00,0.4,-0.2,89,0.6,0.4,53.0,60.0,29,8.0,10.9,988.4,4,11.9
Foster Weather Station,2022-01-01 17:00:00,-0.39,,77,,1.6,,,0,3.3,0.0,987.5,4,14.7
Oak Street Weather Station,2022-01-01 17:00:00,0.2,-0.4,89,0.0,0.2,53.3,60.0,29,8.7,12.0,989.3,1,12.0
Foster Weather Station,2022-01-01 18:00:00,-0.39,,83,,0.3,,,0,3.3,0.0,988.1,2,15.2
Oak Street Weather Station,2022-01-01 18:00:00,0.1,-0.5,89,0.6,0.3,53.5,60.0,29,7.3,13.3,990.2,0,11.7
Foster Weather Station,2022-01-01 19:00:00,-0.67,,80,,0.25,,,0,3.3,0.0,988.1,4,14.8
Oak Street Weather Station,2022-01-01 19:00:00,0.0,-0.8,86,0.0,0.2,53.8,70.0,42,9.4,12.5,990.2,0,12.0
Foster Weather Station,2022-01-01 20:00:00,-0.89,,76,,0.48,,,0,3.3,0.0,988.5,3,14.8
