column_name,mean,std,min,max,missing_count
Air Temperature,12.655628920688967,10.433825538516512,-29.78,37.6,75
Wet Bulb Temperature,10.297657564600238,9.402547042431879,-28.9,28.4,75626
Humidity,68.01426366572632,15.643478714388898,0.0,100.0,0
Rain Intensity,0.15921563400696398,1.7963646346593274,0.0,183.6,75626
Interval Rain,0.14268612780571568,1.0985823055964854,-0.9,63.42,0
Total Rain,141.74393815703982,190.6459222515786,0.0,1056.1,75626
Precipitation Type,4.259492194658714,15.574814522841637,0.0,70.0,75626
Wind Direction,140.9104572958829,121.93923849997118,0.0,359.0,0
Wind Speed,2.9196420540496337,5.350278292365066,0.0,999.9,0
Maximum Wind Speed,3.5621443027106583,5.962426487690763,0.0,999.9,0
Barometric Pressure,994.307217965897,10.038301426480597,0.0,3098.5,146
Solar Radiation,112.57896888670837,844.1649880726377,-100000.0,1277.0,0
Heading,281.76583143128465,142.9087535007083,0.0,359.0,75626
Battery Life,13.162083486651131,1.544371284137085,0.0,15.3,0
