feature,importance
trip_distance,0.8606920552777819
fare_per_mile,0.13893794002511312
time_of_day_Evening,8.02680006531037e-05
day_of_week,6.587362840929083e-05
month,4.8922109055042e-05
hour,4.1848516373153495e-05
trip_duration,4.069408000708129e-05
pickup_borough_Staten Island,3.226890424233025e-05
passenger_count,2.8592761096434032e-05
time_of_day_Night,1.2324612334490895e-05
is_weekend,8.70219399337131e-06
time_of_day_Morning,5.016979481490973e-06
speed_mph,2.8964851303659883e-06
pickup_borough_Brooklyn,1.8876387635569428e-06
pickup_borough_Queens,3.122701112389918e-07
distance_category_Medium,2.8828559656651507e-07
pickup_borough_Manhattan,1.0125372076441959e-07
distance_category_Very Long,6.9781366147894825e-09
distance_category_Short,0.0
